timestamp,version,msgtype,seq,timestamp_ms,mode,batt_mv,temp_c,press_pa,alt_cm,gyro_x,gyro_y,gyro_z,acc_x,acc_y,acc_z,light,comp_len,raw_len
1756387353,1,1,3146,4040697107,OP,4121,25.7,101321,30,19,0,0,-8,-30,976,631,0,40
1756387354,1,1,3147,4040697608,OP,4121,26.29,101321,29,-24,-12,3,26,74,1002,703,0,40
1756387354,1,1,3148,4040698109,OP,4121,26.2,101321,27,-19,28,-19,64,-42,1026,649,0,40
1756387355,1,1,3149,4040698610,OP,4121,26.08,101320,38,-2,32,-8,-31,98,1029,743,0,40
1756387355,1,1,3150,4040699111,OP,4121,26.09,101321,30,3,27,-18,34,-27,1009,708,0,40
1756387356,1,1,3151,4040699611,OP,4121,26.11,101321,32,2,-35,-6,-28,15,953,754,0,40
1756387356,1,1,3152,4040700112,OP,4121,25.96,101320,40,2,-2,-14,4,79,990,724,0,40
1756387357,1,1,3153,4040700612,OP,4121,26.39,101318,52,0,-16,-10,-23,-5,960,759,0,40
1756387357,1,1,3154,4040701113,OP,4121,25.95,101319,45,-13,27,58,5,-13,981,788,0,40
1756387358,1,1,3155,4040701616,OP,4121,26.29,101319,42,-17,0,-7,52,-72,949,797,0,40
1756387358,1,1,3156,4040702117,OP,4121,25.81,101320,35,-17,-24,-15,114,92,1041,826,0,40
1756387359,1,1,3157,4040702617,OP,4120,26.0,101321,26,-16,0,7,-20,95,1002,806,0,40
1756387359,1,1,3158,4040703118,OP,4120,25.79,101320,35,35,-3,11,-10,-33,1019,803,0,40
1756387360,1,1,3159,4040703618,OP,4120,26.0,101319,42,19,20,23,14,-99,982,848,0,40
1756387360,1,1,3160,4040704118,OP,4120,26.09,101319,41,21,-26,-6,0,61,1019,892,0,40
1756387361,1,1,3161,4040704619,OP,4120,25.97,101320,38,0,-27,-1,-52,4,1032,878,0,40
1756387361,1,1,3162,4040705119,OP,4120,26.09,101323,14,-3,-18,-50,65,-62,967,832,0,40
1756387362,1,1,3163,4040705620,OP,4120,25.71,101321,32,22,29,-24,0,-109,955,881,0,40
1756387362,1,1,3164,4040706121,OP,4120,25.75,101320,39,16,-44,7,-28,-59,1003,917,0,40
1756387363,1,1,3165,4040706622,OP,4120,25.96,101320,40,23,14,22,15,-53,901,913,0,40
1756387363,1,1,3166,4040707123,OP,4120,25.92,101319,46,-7,-6,-49,100,19,1127,858,0,40
1756387364,1,1,3167,4040707623,OP,4120,25.65,101321,27,-17,0,-3,-29,-47,998,870,0,40
1756387364,1,1,3168,4040708124,OP,4120,26.11,101321,33,18,-29,-20,3,-25,991,879,0,40
1756387365,1,1,3169,4040708625,OP,4120,25.79,101321,26,23,-9,14,90,61,1009,934,0,40
1756387365,1,1,3170,4040709125,OP,4120,25.72,101320,40,34,48,29,-45,6,1019,873,0,40
1756387366,1,1,3171,4040709626,OP,4120,25.81,101321,28,-5,-1,-51,-22,65,983,901,0,40
